,gtin,return_code,company_prefix,name,street,postcode,city,sum_sales,query_date,isocode
0,4E+12,0,4000001,GS1 Germany GmbH,Maarweg 133,50825,Köln,1166255.87,29/10/2021 10:56,DEU
1,4.00001E+12,0,4000007,GS1 Germany GmbH,Maarweg 133,50825,Köln,39145.52,29/10/2021 10:56,DEU
2,4.00007E+12,0,4000068,Gewürze Markranstädt GmbH,Nordstr. 18,4420,Markranstädt,15358.03,29/10/2021 10:56,DEU
4,4.00012E+12,0,4000122,Hauser Weinimport GmbH,Neufnachstr. 32,86850,Fischach,933.9,29/10/2021 10:56,DEU
5,4.00013E+12,0,4000125,Home and Personal Care,Strandkai 1,20457,Hamburg,49325.08,29/10/2021 10:56,DEU
6,4.00013E+12,0,4000126,Stenger Waffeln GmbH,Nikolaus-Otto-Str.12,56727,Mayen,61725.76,29/10/2021 10:56,DEU
7,4.00013E+12,0,4000132,Dr. R. Baumann KG,Am Ordensschloß 15-21,74182,Obersulm,887.41,29/10/2021 10:56,DEU
8,4.00014E+12,0,4000137,Dr. Willi Knoll GmbH &amp; Co. KG Nährmittel- u. Konservenfabrik,Bahnhofstr. 92,86381,Krumbach,141526.42,29/10/2021 10:56,DEU
9,4.00014E+12,0,4000139,Systemhandel 2.0 GmbH,Oedenberger Str. 55-59,90491,Nürnberg,162915.58,29/10/2021 10:56,DEU
10,4.00014E+12,0,4000140,Schweppes Deutschland GmbH,Hagener Str. 261,57223,Kreuztal,6704.52,29/10/2021 10:56,DEU
11,4.00014E+12,0,4000142,BDG GmbH,Am Heilbrunnen 136-138,72766,Reutlingen,23869.12,29/10/2021 10:56,DEU
12,4.00014E+12,0,4000143,Donath-Kelterei &amp; Co. KG,J.-v.-Liebig-Str 10,85435,Erding,596.34,29/10/2021 10:56,DEU
13,4.00014E+12,0,4000144,Marten Fleischwarenfabrik GmbH &amp; Co. KG,Gewerbestr. 1,24860,Böklund,1201.96,29/10/2021 10:56,DEU
14,4.00015E+12,0,4000145,Dieter Hein GmbH &amp; Co. KG EG Fleischwarenfabrik,Hansastr. 8-10,49205,Hasbergen,34793.57,29/10/2021 10:56,DEU
18,4.00015E+12,0,4000151,GmbH &amp; Co. KG,Sudbrackstr. 37 a - 43,33611,Bielefeld,3143.38,29/10/2021 10:56,DEU
19,4.00015E+12,0,4000152,NIMCO Brands &amp; Liqueurs  d.o.o.,Sportska ul. 1,10437,Bestovje,6273.5,29/10/2021 10:56,DEU
20,4.00016E+12,0,4000155,Schokoladenfabrik,Industriestr. 29,61381,Friedrichsdorf,699.53,29/10/2021 10:56,DEU
97,4.00016E+12,0,4000161,J.G. Niederegger GmbH &amp; Co. KG,Zeißstr. 1-7,23560,Lübeck,385973.13,29/10/2021 10:59,DEU
98,4.00017E+12,0,4000168,Griesson - de Beukelaer GmbH &amp; Co. KG,August-Horch-Str. 23,56751,Polch,1187663.84,29/10/2021 10:59,DEU
99,4.00017E+12,0,4000171,Keiler Bier GmbH,Höchberger Str. 28,97082,Würzburg,48359.73,29/10/2021 10:59,DEU
121,4.00018E+12,0,4000177,Capri Sun GmbH,Rudolf-Wild-Str. 86-98,69214,Eppelheim,281208.35,29/10/2021 11:00,DEU
122,4.00019E+12,0,4000186,Leimer KG,Kotzinger Str. 16,83728,Traunstein,27093.67,29/10/2021 11:00,DEU
127,4.00019E+12,0,4000191,GmbH &amp; Co. KG,Brunnenallee 1,53332,Bornheim-Roisdorf,1353764.6,29/10/2021 11:00,DEU
128,4.00019E+12,0,4000194,Schokoladenwerke GmbH,Daimlerstr. 9,97209,Veitshöchheim,222822.15,29/10/2021 11:00,DEU
129,4.0002E+12,0,4000196,BURNUS GmbH,Rößlerstr. 94,64293,Darmstadt,1338085.75,29/10/2021 11:00,DEU
130,4.0002E+12,0,4000197,Franz G. Brendle GmbH &amp; Co. KG,Delpstr. 11,97084,Würzburg,53017.96,29/10/2021 11:00,DEU
131,4.0002E+12,0,4000198,H.D. Spielzeug Service Drieschmanns GmbH,Goethestraße 25,41061,Möchengladbach,11074,29/10/2021 11:00,DEU
132,4.0002E+12,0,4000201,Friedrich Schwarze GmbH &amp; Co. KG,Paulsburg 1-3,59302,Oelde,3061.26,29/10/2021 11:00,DEU
133,4.00021E+12,0,4000206,Intersnack Deutschland SE,Erna-Scheffler-Str. 3,51103,Köln,70418.81,29/10/2021 11:00,DEU
134,4.00021E+12,0,4000209,Kornbrennerei und Likörfabrik,Niederkasseler Str. 106,40547,Düsseldorf,72567.27,29/10/2021 11:00,DEU
135,4.00021E+12,0,4000211,Jahnke Süßwaren GmbH,Nikolaus-Otto-Str 8,24568,Kaltenkirchen,293.84,29/10/2021 11:00,DEU
136,4.00021E+12,0,4000212,Töpfer Feinkost GmbH &amp; Co. KG,Fasanengarten 11,86633,Neuburg/Donau,696.57,29/10/2021 11:00,DEU
137,4.00021E+12,0,4000213,Saline Luisenhall GmbH,Greitweg 48,37081,Göttingen,151491.74,29/10/2021 11:00,DEU
138,4.00022E+12,0,4000222,Keller Geister GmbH &amp; Co. KG,Rudolf-Diesel-Str. 7-9,54292,Trier/Mosel,1059285.95,29/10/2021 11:00,DEU
143,4.00024E+12,0,4000237,Hühnerhof Wiesengrund GmbH,Nürnberger Str. 64-68,86720,Nördlingen,3953.62,29/10/2021 11:01,DEU
