isocode,abbr,descr
AT,OG,Offene Gesellschaft
AT,KG,Kommanditgesellschaft
AT,AG,Aktiengesellschaft
AT,GmbH,Gesellschaft mit beschränkter Haftung
AT,GEN,Erwerbs- und Wirtschaftsgenossenschaft
AT,V,Versicherungsverein auf Gegenseitigkeit
AT,EUNT,Einzelunternehmen
AT,P,Privatstiftung
AT,S,Sparkasse
AT,SR,Sonstiger Rechtsträger
AT,GesbR,Gesellschaft des bürgerlichen Rechts
AT,ÖrK,Öffentlich rechtliche Körperschaften
AT,ÖrS,Öffentlich rechtliche Stiftungen
AT,VER,Vereine
AT,VER,Verein
AT,EG,Eigentümergemeinschaft
BE,OFP,Organisation for financing pensions
BE,UTVA,Unité TVA
BE,UTVA,BTW-eenheid
BE,UTVA,Mehrwertsteuereinheit
BE,BTWE,Unité TVA
BE,BTWE,BTW-eenheid
BE,BTWE,Mehrwertsteuereinheit
BE,MWSE,Unité TVA
BE,MWSE,BTW-eenheid
BE,MWSE,Mehrwertsteuereinheit
BE,SCRI,Cooperative partnership with unlimited liability
BE,CVOA,Cooperative partnership with unlimited liability
BE,Gen.mubH,Cooperative partnership with unlimited liability
BE,SCRL,Cooperative company with limited liability
BE,CVBA,Cooperative company with limited liability
BE,Gen.mbH,Cooperative company with limited liability
BE,SNC,General partnership
BE,V.O.F.,General partnership
BE,OHG,General partnership
BE,SCS,Ordinary limited partnership
BE,Comm.V,Ordinary limited partnership
BE,EKG,Ordinary limited partnership
BE,SCA,Partnership limited by shares
BE,Comm.VA,Partnership limited by shares
BE,KGaA,Partnership limited by shares
BE,SA,Public limited company
BE,NV,Public limited company
BE,AG,Public limited company
BE,SPRL,Private limited liability company
BE,BVBA,Private limited liability company
BE,PGmbH,Private limited liability company
BE,ASBL,Non-profit association
BE,VZW,Non-profit association
BE,VoG,Non-profit association
BE,MUTU,Mutual health fund
BE,MUTU,Mutual Benefit Society
BE,MUTU,National Union of mutual health funds
BE,ZIEK F,Mutual health fund
BE,ZIEK F,Mutual Benefit Society
BE,ZIEK F,National Union of mutual health funds
BE,Kankenka,Mutual health fund
BE,Kankenka,Mutual Benefit Society
BE,Kankenka,National Union of mutual health funds
BE,UP,Professional association
BE,BV,Professional association
BE,AAM,Mutual insurance association
BE,AAM,Mutual insurance fund under private law
BE,OVV,Mutual insurance association
BE,OVV,Mutual insurance fund under private law
BE,PRVGaG,Mutual insurance association
BE,PRVGaG,Mutual insurance fund under private law
BE,AEP,Foreign private associations with establishment in Belgium
BE,BPR,Foreign private associations with establishment in Belgium
BE,PRaV,Foreign private associations with establishment in Belgium
BE,S. Agr.,Agricultural company
BE,LV,Agricultural company
BE,LG,Agricultural company
BE,FONDPRIV,Private Foundation
BE,PRIV ST.,Private Foundation
BE,PrSt,Private Foundation
BE,ISBL,Non-profit institution
BE,IZW,Non-profit institution
BE,EoG,Non-profit institution
BE,FUP,Public utility foundation
BE,SON,Public utility foundation
BE,gnS,Public utility foundation
BE,ENT E,Foreign company
BE,BO,Foreign company
BE,AGes.,Foreign company
BE,FDP PJ,Other private-law form with legal personality
BE,PRV,Other private-law form with legal personality
BE,PRRFmRP,Other private-law form with legal personality
BE,GIE,Economic interest grouping
BE,ESV,Economic interest grouping
BE,WIV,Economic interest grouping
BE,ACP,Joint owners' association
BE,VME,Joint owners' association
BE,MEV,Joint owners' association
BE,SCRI CP,"Cooperative company with unlimited liability, Participating cooperative, governed by public law"
BE,CVOA CD,"Cooperative company with unlimited liability, Participating cooperative, governed by public law"
BE,GmuHGB,"Cooperative company with unlimited liability, Participating cooperative, governed by public law"
BE,SCRL DPU,"Cooperative company with limited liability, governed by public law"
BE,CVBA PR,"Cooperative company with limited liability, governed by public law"
BE,ÖfrGmbH,"Cooperative company with limited liability, governed by public law"
BE,SA DPU,"Public limited company, governed by public law"
BE,NV PR,"Public limited company, governed by public law"
BE,Ö.-r.AG,"Public limited company, governed by public law"
BE,ASBL DPU,"Non-profit association, governed by public law"
BE,VZW PR,"Non-profit association, governed by public law"
BE,ÖrVohGza,"Non-profit association, governed by public law"
BE,SAM DPU,"Mutual insurance association, governed by public law"
BE,OVV PR,"Mutual insurance association, governed by public law"
BE,ÖrVgGe,"Mutual insurance association, governed by public law"
BE,ETSPUBLI,Public institution
BE,OI,Public institution
BE,ÖE,Public institution
BE,AISBL,International non-profit association
BE,IVZW,International non-profit association
BE,IVoG,International non-profit association
BE,PIETE,Pawnshop
BE,BVB,Pawnshop
BE,LH,Pawnshop
BE,PW,Polder - watering
BE,Ewg-Bwg,Polder - watering
BE,AFJ,Other legal form
BE,AV,Other legal form
BE,ARF,Other legal form
BE,OPEI,Foreign or international public institution
BE,BIPO,Foreign or international public institution
BE,AIÖE,Foreign or international public institution
BE,SF,Company under formation
BE,VV,Company under formation
BE,GbG,Company under formation
BE,SC SCRI,Non-trading company in the form of a cooperative company with unlimited liability
BE,BV CVOA,Non-trading company in the form of a cooperative company with unlimited liability
BE,ZvGGugcH,Non-trading company in the form of a cooperative company with unlimited liability
BE,SC SCRL,Non-trading company in the form of a cooperative company with limited liability
BE,BV CVBA,Non-trading company in the form of a cooperative company with limited liability
BE,ZvGGbH,Non-trading company in the form of a cooperative company with limited liability
BE,SC SNC,Non-trading company in the form of a general partnership
BE,BV VOF,Non-trading company in the form of a general partnership
BE,ZRG OHG,Non-trading company in the form of a general partnership
BE,SC SCS,Non-trading company in the form of an ordinary limited partnership
BE,BV GCV,Non-trading company in the form of an ordinary limited partnership
BE,ZRG EKG,Non-trading company in the form of an ordinary limited partnership
BE,SC SCA,Non-trading company in the form of a partnership limited by shares
BE,BV CVA,Non-trading company in the form of a partnership limited by shares
BE,ZRG KGaA,Non-trading company in the form of a partnership limited by shares
BE,SC SA,Non-trading company in the form of a public limited company
BE,BV NV,Non-trading company in the form of a public limited company
BE,ZRG AG,Non-trading company in the form of a public limited company
BE,SC SPRL,Non-trading company in the form of a private limited liability company
BE,BV BVBA,Non-trading company in the form of a private limited liability company
BE,ZvGPgbH,Non-trading company in the form of a private limited liability company
BE,PPEU,European political party
BE,EUPP,European political party
BE,FPEU,European political foundation
BE,EUPS,European political foundation
BE,SC SAGR,Non-trading company in the form of an agricultural company
BE,BV LV,Non-trading company in the form of an agricultural company
BE,ZRG LG,Non-trading company in the form of an agricultural company
BE,SPF,Federal Public Service
BE,FOD,Federal Public Service
BE,FÖD,Federal Public Service
BE,SPP,Federal Public Planning Service
BE,POD,Federal Public Planning Service
BE,FÖP,Federal Public Planning Service
BE,SERVFEDE,Other federal service
BE,FEDEDIEN,Other federal service
BE,FödD,Other federal service
BE,REGCOMNL,Authorities of the Flemish Region and the Flemish Community
BE,VLGEWGEM,Authorities of the Flemish Region and the Flemish Community
BE,FlRG,Authorities of the Flemish Region and the Flemish Community
BE,RW,Authorities of the Walloon Region
BE,WG,Authorities of the Walloon Region
BE,WR,Authorities of the Walloon Region
BE,AISBL DPU,"International non-profit association, governed by public law"
BE,IVZW PR,"International non-profit association, governed by public law"
BE,ÖrIVoG,"International non-profit association, governed by public law"
BE,REGBRXCA,Authorities of the Brussels Capital Region
BE,BRUHOOGE,Authorities of the Brussels Capital Region
BE,RBH,Authorities of the Brussels Capital Region
BE,COMMFRAN,Authorities of the French Community
BE,FRAGEMEE,Authorities of the French Community
BE,FrG,Authorities of the French Community
BE,COMGERMA,Authorities of the German-speaking Community
BE,DUITGEME,Authorities of the German-speaking Community
BE,DG,Authorities of the German-speaking Community
BE,AUTOPROV,Provincial Authority
BE,PROVOVER,Provincial Authority
BE,Provbehö,Provincial Authority
BE,COMMUNES,City
BE,COMMUNES,municipality
BE,GEMEENTE,City
BE,GEMEENTE,municipality
BE,Gemeinde,City
BE,Gemeinde,municipality
BE,CPAS,Public social welfare centre
BE,OCMW,Public social welfare centre
BE,ÖSHZ,Public social welfare centre
BE,POLLOC,Local Police
BE,LOKPOL,Local Police
BE,LP,Local Police
BE,IC,Intermunicipal company
BE,IK,Intermunicipal company
BE,APROJ,Project association
BE,PROJ V,Project association
BE,Prjverng,Project association
BE,ASS SERV,Services provider association
BE,DIENSTV,Services provider association
BE,DlvFL,Services provider association
BE,ACMISS,Project entrusted association
BE,OPDRAVER,Project entrusted association
BE,BVerFL,Project entrusted association
BE,RCOMAUT,Autonomous municipal company
BE,AUTOGEMB,Autonomous municipal company
BE,AutGemRg,Autonomous municipal company
BE,RPROVAUT,Autonomous provincial company
BE,AUTOPRB,Autonomous provincial company
BE,AutPrvRg,Autonomous provincial company
BE,Ass.CPAS,Association of public centres for social welfare
BE,Ver.OCMW,Association of public centres for social welfare
BE,VÖSHZ,Association of public centres for social welfare
BE,ZDS,Relief zone
BE,HVZ,Relief zone
BE,HLZ,Relief zone
BE,SCRI FS,Cooperative company with unlimited liability with a social purpose
BE,CVOA SO,Cooperative company with unlimited liability with a social purpose
BE,GuHsZ,Cooperative company with unlimited liability with a social purpose
BE,SCRL FS,Cooperative company with limited liability with a social purpose
BE,CVBA SO,Cooperative company with limited liability with a social purpose
BE,GbHsZ,Cooperative company with limited liability with a social purpose
BE,SNC FS,General partnership with a social purpose
BE,VOF SO,General partnership with a social purpose
BE,OHGmsZ,General partnership with a social purpose
BE,SCS FS,Ordinary limited partnership with a social purpose
BE,GCW SO,Ordinary limited partnership with a social purpose
BE,EKGmsZ,Ordinary limited partnership with a social purpose
BE,SCA FS,Partnership limited by shares with a social purpose
BE,CVA SO,Partnership limited by shares with a social purpose
BE,KGaAmsZ,Partnership limited by shares with a social purpose
BE,SA FS,Public limited company with a social purpose
BE,NV SO,Public limited company with a social purpose
BE,AGmsZ,Public limited company with a social purpose
BE,SPRL FS,Private limited liability company with a social purpose
BE,BVBA SO,Private limited liability company with a social purpose
BE,PmbHsZ,Private limited liability company with a social purpose
BE,GIE FS,Economic interest grouping with a social purpose
BE,ESV SO,Economic interest grouping with a social purpose
BE,WIVmsZ,Economic interest grouping with a social purpose
BE,SRL,Limited liability company
BE,BV,Limited liability company
BE,GmbH,Limited liability company
BE,Scomm,Limited partnership
BE,CommV,Limited partnership
BE,KommG,Limited partnership
BE,SRL DPU,"Limited liability company, governed by public law"
BE,BV PR,"Limited liability company, governed by public law"
BE,SDPU,"Limited liability company, governed by public law"
BE,SCommDPU,"Limited partnership, governed by public law"
BE,CommV PR,"Limited partnership, governed by public law"
BE,SDPU,"Limited partnership, governed by public law"
BE,FORME FS,"Other form with a social purpose, governed by public law"
BE,VORM SO,"Other form with a social purpose, governed by public law"
BE,RFmsZ,"Other form with a social purpose, governed by public law"
BE,SDC,Partnership
BE,MS,Partnership
BE,GaR,Partnership
BE,SC,Cooperative partnership
BE,CV,Cooperative partnership
BE,SC DPU,"Cooperative partnership, governed by public law"
BE,CV PR,"Cooperative partnership, governed by public law"
BE,SDPU,"Cooperative partnership, governed by public law"
BE,SASPJ,Company or association without legal personality
BE,VVZRL,Company or association without legal personality
BE,GVoRP,Company or association without legal personality
CZ,v.o.s.,Verejná obchodní spolecnost
CZ,s.r.o.,Spolecnost s rucením omezeným
CZ,k.s.,Spolecnost komanditní
CZ,a.s.,Akciová spolecnost
CZ,o.p.s.,Obecne prospešná spolecnost
CZ,svj,Spolecenství vlastníku jednotek
CZ,s.p.,Státní podnik
DE,GbR,Gesellschaft bürgerlichen Rechts
DE,GbR,BGB-Gesellschaft
DE,OHG,Offene Handelsgesellschaft
DE,KG,Kommanditgesellschaft
DE,eK,Eingetragener Kaufmann
DE,eK,Eingetragene Kauffrau
DE,PartG,Partnerschaftsgesellschaft
DE,.. & Co. KG,Kommanditgesellschaft mit haftungsbeschränktem Komplementär
DE,.. & Co. KGaA,Kommanditgesellschaft auf Aktien mit haftungsbeschränktem Komplementär
DE,.. & Co. OHG,Offene Handelsgesellschaft mit haftungsbeschränktem Gesellschafter
DE,AG,Aktiengesellschaft
DE,KGaA,Kommanditgesellschaft auf Aktien
DE,InvAG,Investmentaktiengesellschaft
DE,GmbH,Gesellschaft mit beschränkter Haftung
DE,UG,Unternehmergesellschaft
DE,wV,Wirtschaftlicher Verein
DE,ÖPP,Öffentlich-private Partnerschaft
DE,JPahR,Juristische Person alten hamburgischen Rechts
DE,eG,Eingetragene Genossenschaft
DE,VVaG,Versicherungsverein auf Gegenseitigkeit
DE,G,Gebietskörperschaft
DE,AöR,Anstalt des öffentlichen Rechts
DE,KöR,Körperschaft des öffentlichen Rechts
DE,SöR,Stiftung des öffentlichen Rechts
DE,BeG,Betriebe der Gebietskörperschaften
DE,ZweckV,Zweckverband
DE,SpR,Stiftung des privaten Rechts
DE,e.V.,Eingetragener Verein
DE,WuR,Weltanschauungs- und Religionsgemeinschaft
DE,SoOE,Sonstige Organisation ohne Erwerbszweck
DE,SnP,Sonstige nichtrechtsfähige Personenvereinigung
DE,P,Privatperson
DK,a.m.b.a.,Andelsselskab begr. ansvar
