"isocode","pattern","replacement"
"AT","INLIQU",
"AT","INLIQUIDATION",
"AT","INLIQUIDATION","INLIQU"
"AT","GELOESCHT","GELOESCHT"
"AT","GELOESCHT",
"AT","KG","KG"
"AT","KG",
"AT","EU",
"AT","EU","EU"
"AT","IL",
"AT","IL","IL"
"AT","GESELLSCHAFTMBHGELOESCHT",
"AT","GESELLSCHAFTMBHGELOESCHT","GESELLSCHAFTMBHGELOESCHT"
"AT","GMBHGELOESCHT",
"AT","GMBHGELOESCHT","GMBHGELOESCHT"
"AT","INLIQUGELOESCHT",
"AT","INLIQUGELOESCHT","INLIQUGELOESCHT"
"AT","GMBHCOKG",
"AT","GMBHCOKG","GMBHCOKG"
"AT","OG","KG"
"AT","OG","OG"
"AT","OESTERREICH",
"AT","OESTERREICH","OESTERREICH"
"AT","GMBHCOKGOESTERREICH",
"AT","GMBHOESTERREICH",
"AT","GMBHCO",
"AT","GMBHCO","GMBHCO"
"AT","IDATION",
"AT","IDATION","IDATION"
"AT","KEG","KEG"
"AT","KEG",
"AT","GMBHINLIQUIDATION",
"AT","GMBHINLIQUIDATION","GMBHINLIQUIDATION"
"AT","INLIQUIDATIONGELOESCHT",
"AT","INLIQUIDATIONGELOESCHT","INLIQUIDATIONGELOESCHT"
"AT","GMBHCOGELOESCHT",
"AT","GMBHCOGELOESCHT","GMBHCOGELOESCHT"
"AT","INABWICKLUNG",
"AT","INABWICKLUNG","INABWICKLUNG"
"AT","OG",
"AT","VEREIN","VEREIN"
"AT","VEREIN",
"AT","ZWEIGNIEDERLASSUNG",
"AT","ZWEIGNIEDERLASSUNG","ZWEIGNIEDERLASSUNG"
"AT","ZWEIGNIEDERLASSUNGOESTERREICH",
"AT","GMBH","AG"
"AT","GMBH","GMBH"
"AT","KG","EU"
"AT","OEG","KG"
"AT","OEG","OEG"
"AT","OG","EU"
"AT","GESELLSCHAFTMBH","GMBH"
"AT","GESELLSCHAFTMBH","GESELLSCHAFTMBH"
"AT","INLIQU","INLIQU"
"AT","INLIQUIDATION","INLIQUIDATION"
