RIAD_CODE;BIC;COUNTRY_OF_REGISTRATION;NAME;BOX;ADDRESS;POSTAL;CITY;CATEGORY;HEAD_COUNTRY_OF_REGISTRATION;HEAD_NAME;HEAD_RIAD_CODE;RESERVE;EXEMPT;RIAD_CODE2
DE03758;GENODEF1NDL;DE;Raiffeisenbank Nüdlingen eG;;Kissinger Str. 8;97720;Nüdlingen;Credit institution S122;;;;Y;N;DE03758
ES3110;CCRIES2A110;ES;Caja Rural Católico Agraria, S. Coop. de Crédito V.;;PZ MAYOR, 10;12540;VILA-REAL;Credit institution S122;;;;Y;N;ES3110
ES3111;BCOEESMM111;ES;Caixa Rural La Vall 'San Isidro', Sociedad Cooperativa de Crédito Valenciana;;AV CORAZÓN DE JESÚS, 3;12600;LA VALL D'UIXO;Credit institution S122;;;;Y;N;ES3111
ES3112;CCRIES2A112;ES;Caja Rural San José de Burriana, S. Coop. de Crédito V.;;PZ EL PLA, 1;12530;BORRIANA/BURRIANA;Credit institution S122;;;;Y;N;ES3112
ES3113;BCOEESMM113;ES;Caja Rural San José de Alcora S. Coop. de Crédito V.;;CL SAN FRANCISCO, 14;12110;L' ALCORA;Credit institution S122;;;;Y;N;ES3113
ES3115;BCOEESMM115;ES;Caja Rural 'Nuestra Madre del Sol', S. Coop. Andaluza de Crédito;;CL ALTO GUADALQUIVIR, 4;14430;ADAMUZ;Credit institution S122;;;;Y;N;ES3115
ES3117;BCOEESMM117;ES;Caixa Rural D'Algemesí, S. Coop. V. de Crédit;;CL SAN JOSÉ DE CALASANZ, 6;46680;ALGEMESI;Credit institution S122;;;;Y;N;ES3117
ES3118;CCRIES2A118;ES;Caixa Rural Torrent Cooperativa de Credit Valenciana;;AV AL VEDAT, 3;46900;TORRENT;Credit institution S122;;;;Y;N;ES3118
ES3119;CCRIES2A119;ES;Caja Rural San Jaime de Alquerías Niño Perdido S. Coop. de Crédito V.;;CL JAIME CHICHARRO 24;12539;ALQUERIAS DEL NIÑO PERDIDO;Credit institution S122;;;;Y;N;ES3119
ES3121;CCRIES2A121;ES;Caja Rural de Cheste, Sociedad Cooperativa de Crédito Valenciana;;PZ DR. CAJAL, 2;46380;CHESTE;Credit institution S122;;;;Y;N;ES3121
ES3123;CCRIES2A123;ES;Caixa Rural de Turís, Cooperativa de Crédito Valenciana;;PZ CONSTITUCIÓN, 2;46389;TURIS;Credit institution S122;;;;Y;N;ES3123
ES3127;BCOEESMM127;ES;Caja Rural de Casas Ibáñez, S. Coop. de Crédito de Castilla-La Mancha;;CL TERCIA, 49;2200;CASAS-IBAÑEZ;Credit institution S122;;;;Y;N;ES3127
ES3130;BCOEESMM130;ES;Caja Rural San José de Almassora, S. Coop. de Crédito V.;;CL TRINIDAD, 20;12550;ALMAZORA/ALMASSORA;Credit institution S122;;;;Y;N;ES3130
ES3134;BCOEESMM134;ES;Caja Rural Nuestra Señora de la Esperanza de Onda, S. Coop. de Crédito V.;;PZ EL PLÁ, 19;12200;ONDA;Credit institution S122;;;;Y;N;ES3134
ES3135;CCRIES2A135;ES;Caja Rural San José de Nules S. Coop. de Crédito V.;;CL MAYOR, 66;12520;NULES;Credit institution S122;;;;Y;N;ES3135
ES3138;BCOEESMM138;ES;Ruralnostra, Sociedad Cooperativa de Crédito Valenciana;;PZ MAYOR, 2;12549;BETXI;Credit institution S122;;;;Y;N;ES3138
ES3140;BCOEESMM140;ES;Caja Rural de Guissona, Sociedad Cooperativa de Crédito;;CL TRASPALAU, 8;25210;GUISSONA;Credit institution S122;;;;Y;N;ES3140
ES3144;BCOEESMM144;ES;Caja Rural de Villamalea, S. Coop. de Crédito Agrario de Castilla-La Mancha;;PZ DE LA CONCEPCIÓN, 1;2270;VILLAMALEA;Credit institution S122;;;;Y;N;ES3144
ES3150;BCOEESMM150;ES;Caja Rural de Albal, Coop. de Crédito V.;;PZ DEL JARDÍ, 24;46470;ALBAL;Credit institution S122;;;;Y;N;ES3150
